category,name,brand,image_url,حجم,وزن بسته‌بندی,ابعاد بسته‌بندی,ارگانیک,شماره پروانه بهداشت,توضیحات1,page_url,وزن,ماندگاری,شرایط نگهداری,هشدار مصرف,نوع بسته‌بندی,توضیحات2,توضیحات3,توضیحات4,نوع چای,معطر,طعم‌دار,با طعم,طعم
عرقیات و گلاب,عرق زیره رسالت - 1 لیتر,رسالت,"https://dkstatics-public.digikala.com/digikala-products/89502535d5ea076f5275dffd29067d50422432a6_1604923338.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_80",1000 میلی‌لیتر,1000 گرم,28x6x6 سانتی‌متر,بله,40/11445,در جای خشک و خنک نگهداری شود,https://www.digikala.com/product/dkp-3714860/%D8%B9%D8%B1%D9%82-%D8%B2%DB%8C%D8%B1%D9%87-%D8%B1%D8%B3%D8%A7%D9%84%D8%AA-1-%D9%84%DB%8C%D8%AA%D8%B1,,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
عرقیات و گلاب,عرق بیدمشک رسالت - 1 لیتر,رسالت,"https://dkstatics-public.digikala.com/digikala-products/a7aadaa320993ae867572236e4c3740ff95ff782_1604923033.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_80",1000 میلی‌لیتر,1000 گرم,28x6x6 سانتی‌متر,بله,40/11445,در جای خشک و خنک نگهداری شود.,https://www.digikala.com/product/dkp-3714832/%D8%B9%D8%B1%D9%82-%D8%A8%DB%8C%D8%AF%D9%85%D8%B4%DA%A9-%D8%B1%D8%B3%D8%A7%D9%84%D8%AA-1-%D9%84%DB%8C%D8%AA%D8%B1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
عرقیات و گلاب,عرق گزنه رسالت - 1 لیتر,رسالت,"https://dkstatics-public.digikala.com/digikala-products/6a9d5dba4602af20e6aab9a3de0754802fb176cb_1604920229.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_80",1000 میلی‌لیتر,1000 گرم,28x6x6 سانتی‌متر,بله,40/11445,در جای خنک و خشک نگهداری شود,https://www.digikala.com/product/dkp-3714236/%D8%B9%D8%B1%D9%82-%DA%AF%D8%B2%D9%86%D9%87-%D8%B1%D8%B3%D8%A7%D9%84%D8%AA-1-%D9%84%DB%8C%D8%AA%D8%B1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
عرقیات و گلاب,عرق بومادران رسالت - 1 لیتر,رسالت,"https://dkstatics-public.digikala.com/digikala-products/baa55f3c3f21552a8484e806ffe66e7e063ef3ee_1604919895.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_80",1000 میلی‌لیتر,1000 گرم,28x6x6 سانتی‌متر,بله,40/11445,در جای خشک و خنک نگهداری شود,https://www.digikala.com/product/dkp-3714135/%D8%B9%D8%B1%D9%82-%D8%A8%D9%88%D9%85%D8%A7%D8%AF%D8%B1%D8%A7%D9%86-%D8%B1%D8%B3%D8%A7%D9%84%D8%AA-1-%D9%84%DB%8C%D8%AA%D8%B1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
قهوه فوری و هات چاکلت,قهوه فوری گلد اکوادور سورن - 200 گرم,سورن,"https://dkstatics-public.digikala.com/digikala-products/c9f2c41a0434a2d8fd524b39b43a7ebd684bd267_1604910212.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_80",undefined,220 گرم,26x7x16 سانتی‌متر,undefined,34/12222,undefined,https://www.digikala.com/product/dkp-3711881/%D9%82%D9%87%D9%88%D9%87-%D9%81%D9%88%D8%B1%DB%8C-%DA%AF%D9%84%D8%AF-%D8%A7%DA%A9%D9%88%D8%A7%D8%AF%D9%88%D8%B1-%D8%B3%D9%88%D8%B1%D9%86-200-%DA%AF%D8%B1%D9%85,200 گرم,12 ماه,در جای خشک و خنک و بدور از مواد معطر نگهداری شود,مصرف بیشتر از روزانه 3 الی 4 فنجان توصیه نمیشود,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
قهوه,قهوه آرچر فارمز مجموعه ۳ عددی,متفرقه,"https://dkstatics-public.digikala.com/digikala-products/54532fe79a978377b5280461217528eeb5a879ce_1604898996.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_80",undefined,750 گرم,۱۰x۷x۲۶ سانتی‌متر,undefined,15/16775,- مناسب برای موکاپ، دستگاه‌های اسپرسو ساز خانگی و صنعتی، فرنچ پرس,https://www.digikala.com/product/dkp-3709945/%D9%82%D9%87%D9%88%D9%87-%D8%A2%D8%B1%DA%86%D8%B1-%D9%81%D8%A7%D8%B1%D9%85%D8%B2-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-%DB%B3-%D8%B9%D8%AF%D8%AF%DB%8C,750 گرم,undefined,undefined,undefined,کیسه‌ای,- ۱۰۰٪ عربیکا,- رست مدیوم,undefined,undefined,undefined,undefined,undefined,undefined
عرقیات و گلاب,عرق بید رسالت - 1 لیتر,رسالت,"https://dkstatics-public.digikala.com/digikala-products/d71801faf5ca1d503b718aefa0f829db11de422a_1604867500.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_80",1000 میلی‌لیتر,1000 گرم,28x6x6 سانتی‌متر,بله,40/11445,در جای خشک و خنک نگهداری شود,https://www.digikala.com/product/dkp-3708017/%D8%B9%D8%B1%D9%82-%D8%A8%DB%8C%D8%AF-%D8%B1%D8%B3%D8%A7%D9%84%D8%AA-1-%D9%84%DB%8C%D8%AA%D8%B1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
آب و آب معدنی,نوشیدنی سودا ساده کولاک - 1.5 لیتر بسته 6 عددی,کولاک,"https://dkstatics-public.digikala.com/digikala-products/1a48e95c8acf390fd500a16b5202ff08b6ae81dd_1604855078.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_80",1500 میلی‌لیتر,undefined,undefined,undefined,21/18511,undefined,https://www.digikala.com/product/dkp-3706610/%D9%86%D9%88%D8%B4%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%88%D8%AF%D8%A7-%D8%B3%D8%A7%D8%AF%D9%87-%DA%A9%D9%88%D9%84%D8%A7%DA%A9-15-%D9%84%DB%8C%D8%AA%D8%B1-%D8%A8%D8%B3%D8%AA%D9%87-6-%D8%B9%D8%AF%D8%AF%DB%8C,undefined,undefined,undefined,undefined,بطری خانواده,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
قهوه,قهوه آرچر فارمز مجموعه ۳ عددی,متفرقه,"https://dkstatics-public.digikala.com/digikala-products/3747325af7c49b1435df9ce69036a1765ec77d77_1604842408.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_80",undefined,750 گرم,۲۶×۷×۱۰ سانتی‌متر,undefined,۱۵/۱۶۷۷۵,-مناسب برای موکاپ، اسپرسو ساز خانگی، اسپرسو ساز صنعتی و فرنچ‌پرس,https://www.digikala.com/product/dkp-3704688/%D9%82%D9%87%D9%88%D9%87-%D8%A2%D8%B1%DA%86%D8%B1-%D9%81%D8%A7%D8%B1%D9%85%D8%B2-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-%DB%B3-%D8%B9%D8%AF%D8%AF%DB%8C,750 گرم,undefined,undefined,undefined,کیسه‌ای,- قهوه تک خاستگاه,-صد در صد عربیکا,-رست مدیوم,undefined,undefined,undefined,undefined,undefined
قهوه,قهوه نیکاراگوئه و اتیوپی و مکزیک آرچر فارمز مجموعه ۳ عددی,متفرقه,"https://dkstatics-public.digikala.com/digikala-products/3747325af7c49b1435df9ce69036a1765ec77d77_1604841732.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_80",undefined,750 گرم,۲۶×۷×۱۰ سانتی‌متر,undefined,۱۵/۱۶۷۷۵,-مناسب برای موکاپ، اسپرسو ساز خانگی، اسپرسو ساز صنعتی و فرنچ‌پرس,https://www.digikala.com/product/dkp-3704544/%D9%82%D9%87%D9%88%D9%87-%D9%86%DB%8C%DA%A9%D8%A7%D8%B1%D8%A7%DA%AF%D9%88%D8%A6%D9%87-%D9%88-%D8%A7%D8%AA%DB%8C%D9%88%D9%BE%DB%8C-%D9%88-%D9%85%DA%A9%D8%B2%DB%8C%DA%A9-%D8%A2%D8%B1%DA%86%D8%B1-%D9%81%D8%A7%D8%B1%D9%85%D8%B2-%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-%DB%B3-%D8%B9%D8%AF%D8%AF%DB%8C,250 گرم,undefined,undefined,undefined,کیسه‌ای,- قهوه تک خاستگاه,-صد در صد عربیکا,-رست مدیوم,undefined,undefined,undefined,undefined,undefined
